dataset: C
instance: BY
+-----------+
2D Packing Heuristic in Truck P088062001
Min2DVol: 21.12000000000001 [m2]
Stack 0 with items: ['0090016900_27022023040540', '0090016900_27022023040540', '0090016900_27022023040540', '0090016900_27022023040540']
Stack 30 with items: ['0090016900_27022023007804', '0090016900_27022023007804', '0090016900_27022023007804', '0090016900_27022023007804']
Stack 31 with items: ['0090016900_27022023007804', '0090016900_27022023007804', '0090016900_27022023007804', '0090016900_27022023007804']
Stack 32 with items: ['0090016900_27022023007804', '0090016900_27022023007804']
Stacks not packed:
Stack 9 missing: ['0090016900_27022023040540', '0090016900_27022023032623', '0090016900_27022023040540', '0090016900_27022023040540']
Stack 10 missing: ['0090016900_27022023032623', '0090016900_27022023032623', '0090016900_27022023032623', '0090016900_27022023032623']
Stack 11 missing: ['0090016900_27022023032623', '0090016900_27022023032623', '0090016900_27022023032623', '0090016900_27022023032623']
Stack 12 missing: ['0090016900_27022023032623', '0090016900_27022023032623', '0090016900_27022023032623', '0090016900_27022023032623']
Stack 13 missing: ['0090016900_27022023032623', '0090016900_27022023032623', '0090016900_27022023032623', '0090016900_27022023032623']
Stack 14 missing: ['0090016900_27022023032623', '0090016900_27022023032623', '0090016900_27022023032623', '0090016900_27022023032623']
Stack 15 missing: ['0090016900_27022023032623', '0090016900_27022023032623', '0090016900_27022023032623', '0090016900_27022023032623']
Stack 16 missing: ['0090016900_27022023032623', '0090016900_27022023032623', '0090016900_27022023032623', '0090016900_27022023032623']
Stack 17 missing: ['0090016900_27022023032623', '0090016900_27022023032623', '0090016900_27022023032623', '0090016900_27022023032623']
Stack 18 missing: ['0090016900_27022023032623', '0090016900_27022023032623', '0090016900_27022023032623', '0090016900_27022023032623']
Stack 19 missing: ['0090016900_27022023032623', '0090016900_27022023014955', '0090016900_27022023014955', '0090016900_27022023032623']
Stack 26 missing: ['0090016900_27022023014955', '0090016900_27022023014955', '0090016900_27022023014955', '0090016900_27022023014955']
Stack 27 missing: ['0090016900_27022023014955', '0090016900_27022023007804', '0090016900_27022023007804', '0090016900_27022023007804']
Stack 28 missing: ['0090016900_27022023007804', '0090016900_27022023007804', '0090016900_27022023007804', '0090016900_27022023007804']
Stack 29 missing: ['0090016900_27022023007804', '0090016900_27022023007804', '0090016900_27022023007804', '0090016900_27022023007804']
Stack 30 missing: ['0090016900_27022023007804', '0090016900_27022023007804', '0090016900_27022023007804', '0090016900_27022023007804']
Stack 31 missing: ['0090016900_27022023007804', '0090016900_27022023007804', '0090016900_27022023007804', '0090016900_27022023007804']
